Date,Price,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused
12/18/2017,785.99,984021,15048543,96364002.78,75741.14255,147283.4924,1783.753,5781,27932,14.67,27442929390,7996603,43186977264
12/17/2017,717.71,876574,14830225,96343439.19,69146.64974,142954.4584,1754.69,5781,25965,14.66,29121338315,7995227,41694276203
12/16/2017,699.09,899857,14626324,96323094.13,66735.5293,141945.8652,1740.332,5775,26389,14.58,35296363949,7996145,42279195527
12/15/2017,693.58,904346,14448281,96302709.88,65897.05529,143758.2604,1716.279,5800,26180,14.52,35432934113,7995378,42607604617
12/14/2017,692.83,942559,14252053,96281880.03,66779.18635,137629.7703,1641.299,5694,26049,14.82,41791954659,7995365,43964305213
12/13/2017,684.27,909631,14031511,96261094.63,67295.16864,134096.1365,1612.737,5659,26216,14.96,38631503447,7995336,41625003479
12/12/2017,656.52,872340,13835239,96240488.28,63183.80537,128931.8969,1556.261,5715,25607,14.73,38367405491,7906762,42534383833
12/11/2017,513.29,828899,13685739,96219914.75,49388.72004,128336.6496,1575.712,5749,23554,14.68,35272081823,7799361,42190609044
12/7/2017,421.15,659068,13563836,96199585.25,40514.45533,125209.8857,1480.719,5798,17899,14.57,59656597683,6730260,37125990058
12/6/2017,422.48,791746,13403976,96178679,40633.5683,123628.5175,1509.751,5473,21174,15.36,42116421717,6722801,33872524569
12/5/2017,453.96,693090,13208395,96158037.78,43651.90283,123432.1491,1570.293,5588,19800,14.94,30921177676,6726859,35038771633
12/4/2017,466.93,701834,13091051,96137400.97,44889.43663,125869.5928,1546.95,5671,19741,14.86,21962218932,6722294,34887121288
12/3/2017,462.81,693808,12965590,96116972.75,44483.89616,121828.5383,1542.746,6029,19326,14.08,14068434201,6721650,33003047721
12/2/2017,457.96,627785,12861547,96096636.22,44008.41552,125605.2762,1520.78,6053,17954,14.07,13179215357,6720306,30183667434
12/1/2017,461.58,622720,12765900,96076431.03,44346.95904,125492.702,1508.043,6127,18184,13.89,14561757161,6718817,31811531693
11/30/2017,434.85,655457,12661777,96055954.34,41769.93175,124830.2891,1537.205,6151,18059,13.83,16354038320,6716861,28880894729
11/29/2017,427.42,663579,12552695,96035538.22,41047.50975,123404.9935,1553.38,6108,18539,13.92,17499867713,6716943,29519996063
11/28/2017,466.27,638989,12432637,96015113.19,44768.96683,121376.5047,1562.073,6094,18980,13.95,16779210323,6717145,30288687055
11/27/2017,475.24,608695,12307159,95994803.56,45620.57045,123438.9985,1549.351,6086,22187,14.02,15537337870,6717512,30599511959
11/26/2017,470.54,542484,12206781,95974531.81,45159.8562,125187.293,1518.894,6169,16099,13.79,14953923259,6715381,27674135132
11/25/2017,464.61,561166,12117975,95954171,44581.26739,125309.3717,1462.848,6201,16192,13.69,12891179323,6717095,27394849746
11/24/2017,470.43,525529,12032606,95933855.94,45130.16385,124844.7158,1471.463,6234,15104,13.68,15456892039,6713855,26317732352
11/23/2017,406.57,537068,11944929,95913442.81,38995.52844,122161.9842,1489.214,6190,16029,13.73,15992127664,6715977,26725364867
11/22/2017,380.84,546489,11857891,95893095.41,36519.92645,118382.3196,1402.317,6242,15978,13.67,16469836119,6716259,26017543726
11/21/2017,360.52,524044,11772235,95872590.97,34563.9865,118772.9291,1389.738,6174,16182,13.8,17548793491,6715338,25906539931
11/20/2017,367.71,530141,11684803,95852196.97,35245.81135,120188.5528,1403.216,6176,16654,13.81,16089304528,6713109,26027982305
11/19/2017,354.6,464563,11608818,95831788.63,33981.95225,112980.6417,1397.135,6266,14551,13.6,14229082585,6714834,23975090718
11/18/2017,346.65,459679,11538878,95811365.84,33213.00997,111516.8425,1424.358,6215,14628,13.71,13339014477,6715508,24532718494
11/17/2017,331.72,508590,11464078,95791033.91,31775.80177,112630.8165,1448.755,6235,15301,13.66,16406020669,6715914,26784225318
11/16/2017,330.32,491482,11364268,95770669.91,31634.96768,111657.6225,1456.779,6154,15278,13.8,16023943398,6714876,25488120832
11/15/2017,331.2,540593,11266683,95750447.38,31712.54817,115382.9053,1487.331,6237,16453,13.69,17408995522,6714993,27301153015
11/14/2017,334.72,475984,11161837,95729953.81,32042.73014,114709.874,1437.744,6122,16232,13.87,16704405736,6714816,25946874938
11/13/2017,314.6,443176,11079264,95709903.78,30110.33573,117469.6839,1429.592,6225,14443,13.65,16603636136,6714950,24529577479
11/12/2017,306.02,434380,10997046,95689482.59,29282.89546,118263.4894,1420.593,6245,13233,13.53,18011273725,6712808,22925780729
11/11/2017,314.23,394378,10910568,95669271.88,30062.1553,115718.414,1454.538,6267,12665,13.58,15394750336,6714315,22677610504
11/10/2017,296.86,457427,10833256,95648853.59,28394.31868,115773.7593,1412.215,6300,13413,13.52,15036090671,6715532,23709873840
11/9/2017,319.66,467172,10737345,95628326.75,30568.55093,114107.822,1433.805,6195,13929,13.79,15785570759,6718203,24998074107
11/8/2017,307.35,480413,10631410,95608013.66,29385.123,116144.1465,1439.533,6236,14220,13.7,16154783877,6713955,23449784813
11/7/2017,291.84,470418,10557839,95587760.75,27896.3321,113925.2212,,6211,14267,13.72,13393206633,6712817,22865503353
11/6/2017,296.82,511663,10503649,95567346.97,28366.29993,114621.414,,6199,13796,13.77,10433598351,6714082,21153932849
11/5/2017,296.23,417102,10440241,95547106.34,28303.91931,117028.67,,6299,11640,13.54,10703460687,6713173,18773996019
11/4/2017,299.42,398758,10389337,95526513.88,28661.77522,103567.0937,1405.222,6196,12156,13.78,11624799927,6714627,21376023145
11/3/2017,298.4,485790,10334844,95506325.56,29082.6312,104827.259,1419.283,6208,15831,13.68,12781813101,6716000,27474314374
11/2/2017,284.61,529277,10265149,95486016.13,27205.87571,105632.0807,1441.55,6144,15696,13.83,15919836477,6714869,29711567693
11/1/2017,289.5,527783,10170977,95465719.34,27629.68849,109939.7975,1505.309,6142,15758,13.85,14979336359,6718288,29424380755
10/31/2017,304.24,519906,10090762,95445491,28981.06889,109011.5712,1462.242,6275,15604,13.58,13692446133,6719731,29533828429
10/30/2017,307,532626,10016332,95424854.56,29276.34538,104689.5115,1447.379,6072,16448,14.02,11808258897,6717222,26614306113
10/29/2017,304.37,494176,9962016,95404755.97,29006.862,107364.0917,1459.599,6194,14872,13.78,10371979124,6719600,24746206086
10/28/2017,293.61,484554,9919259,95384467.16,27981.03344,109022.7007,1468.426,6240,14317,13.69,10491940195,6717997,24238961845
10/27/2017,295.99,486147,9877222,95364021.78,28262.0815,107301.2973,1447.521,6229,14924,13.67,11545392383,6716447,26465608457
10/26/2017,295.1,466406,9815741,95343550.53,28177.83292,105391.6618,1437.018,6157,14417,13.87,12385996259,6716410,25792258901
10/25/2017,294.91,460419,9742825,95323352.38,28249.07548,109101.8007,1484.205,6176,14347,13.78,12720316553,6716677,26309948399
10/24/2017,296.2,492288,9668925,95303134.16,28257.37928,111176.9227,1496.921,6248,13946,13.64,14415708346,6716623,26564339882
10/23/2017,284.75,468168,9581597,95282604.69,27181.26864,108188.1292,1455.82,6254,12828,13.63,13780011469,6713991,22112574421
10/22/2017,293.67,435493,9508412,95262134.28,28009.92534,110340.082,1479.883,6280,10947,13.59,10751750663,6717027,17476517075
10/21/2017,299,462902,9450402,95241750.03,28529.66622,109179.8738,1470.935,6229,11983,13.69,12128683877,6716829,18071912431
10/20/2017,302.61,546837,9391327,95221606.81,28859.76459,107296.8232,1448.048,6237,15254,13.68,14610349751,6715665,26586311517
10/19/2017,306.97,494184,9320260,95201131.81,29265.77993,107745.2962,1460.305,6241,12978,13.71,12235259269,6716823,24000639917
10/18/2017,313.43,470449,9250984,95180705.66,29842.95845,104018.5548,1412.602,6221,13060,13.75,14081137033,6716945,21489016601
10/17/2017,315.64,505611,9195945,95160328.25,30083.98617,103140.2309,1430.794,6050,14412,14.08,14194850634,6716565,23228035407
10/16/2017,334.37,408297,9135201,95140181,31798.7027,103706.3558,1922.324,4554,16294,18.78,16678649826,6716404,21922149733
10/15/2017,336.74,328921,9075349,95124011.44,32016.83977,103434.7686,2962.491,2925,19011,29.2,23514174126,6714419,16839186003
10/14/2017,339.24,332169,9026250,95108431.28,32223.6876,99078.8168,2917.998,2887,19951,29.74,24196653845,6717269,16796028877
10/13/2017,337.46,379136,8982527,95093113.47,32030.21341,104478.2166,3031.012,2891,21845,29.62,26489325565,6718163,16818042076
10/12/2017,303.1,363411,8930073,95077676.28,28798.07737,100658.819,2911.728,2899,21137,29.42,24512657109,6714754,16867122755
10/11/2017,303.39,344305,8880536,95062284.72,28790.56355,103201.435,2997.386,2915,20045,29.34,30039329444,6715640,16118748639
