trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.5460764832462,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.9468355631586,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-252.4823400919908,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-168.02130405164974,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-126.02094130982903,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-120.49614893955359,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-165.1991049188992,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.11003664151593,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,17,-78.50456742243914,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-48.634023974208425,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-43.09511380137619,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-54.97623006361465,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-27.0442034225511,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-22.178167336193386,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-63.83876649697914,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,3,26.034362594715745,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,15.321855651538186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-34.87284396404775,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-43.040601838441766,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-51.52422517374224,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,2,-31.1257161365418,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,12.92788282729489,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,5,-17.8039887467414,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-25.13930709360394,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-18.110697643331967,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,31.882199859410576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-27.495989924236476,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-61.651819300485265,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,3,-49.068251123228364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,38.05129960898744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
