trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.27533837354224,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-42.00579679125373,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,10,-79.78089647648218,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-200.6396194374106,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-52.82671221938864,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",35,0,-181.71437106400595,"{0: 22, 1: 2, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-130.98872019960285,"{0: 12, 1: 4, 2: 5, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-166.1473391626932,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-200.48670616147294,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-107.18810527526296,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-98.24628553525498,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-58.58600765112045,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-195.32548225744654,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-68.91333289525468,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,1,-168.99726889638018,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 2}",1
