trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-27,-280.3233284840305,"{0: 35, 1: 8, 2: 7, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-22,-133.8544864306779,"{0: 28, 1: 1, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-33,-228.87016794920004,"{0: 36, 1: 8, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-589.4468317901453,"{0: 76, 1: 10, 2: 21, 3: 4, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-83,-498.3641689729134,"{0: 68, 1: 9, 2: 16, 3: 0, 4: 10}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,1,-18.770256707636467,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-647.1793668014241,"{0: 73, 1: 10, 2: 28, 3: 7, 4: 7}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-64,-378.0944968392241,"{0: 55, 1: 5, 2: 14, 3: 5, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-100,-555.9307570494284,"{0: 83, 1: 10, 2: 26, 3: 4, 4: 7}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-54,-493.0146980840161,"{0: 35, 1: 9, 2: 21, 3: 4, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-707.3395671672068,"{0: 68, 1: 7, 2: 31, 3: 5, 4: 9}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,5,-119.36823943481164,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-83,-425.29646202937715,"{0: 68, 1: 9, 2: 18, 3: 1, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-76,-559.9913338291143,"{0: 62, 1: 9, 2: 18, 3: 3, 4: 9}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-30,-328.8641811893119,"{0: 37, 1: 1, 2: 8, 3: 3, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-11,-120.56095310358096,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,5,-92.04441201504605,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,-1,-220.36382616069056,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 4}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,-100,-544.2075000620297,"{0: 81, 1: 15, 2: 20, 3: 9, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,-100,-605.7197344741913,"{0: 75, 1: 18, 2: 23, 3: 8, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-34,-263.9846648480595,"{0: 43, 1: 5, 2: 10, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-24,-213.73219389435766,"{0: 28, 1: 7, 2: 10, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-62,-342.7888391857605,"{0: 55, 1: 9, 2: 15, 3: 5, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-409.6903512066607,"{0: 75, 1: 9, 2: 29, 3: 5, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-6,-56.61863337513651,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-648.6854128035503,"{0: 69, 1: 16, 2: 21, 3: 5, 4: 9}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,-100,-575.2490248771583,"{0: 79, 1: 19, 2: 27, 3: 4, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-83,-438.1274037457495,"{0: 64, 1: 13, 2: 16, 3: 5, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,13,-56.513546044627574,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,-53,-286.45084060425734,"{0: 51, 1: 4, 2: 18, 3: 2, 4: 3}",0
